PUNTO_MUESTREO;LONGITUD;LATITUD
28079001;-3.691945;40.422501
28079002;-3.691945;40.409725
28079004;-3.712222;40.424167
28079006;-3.690833;40.437778
28079007;-3.680278;40.421669
28079008;-3.682222;40.421667
28079009;-3.693611;40.402225
28079011;-3.677222;40.451667
28079012;-3.668611;40.428612
28079014;-3.716667;40.385000
28079015;-3.688611;40.468334
28079016;-3.639167;40.440000
28079017;-3.705000;40.346944
28079018;-3.731944;40.394722
28079010;-3.704170;40.447224
28079038;-3.706389;40.445278
28079023;-3.604444;40.450279
28079024;-3.749167;40.420000
28079033;-3.741945;40.407780
28079034;-3.718333;40.441113
28079035;-3.703333;40.419167
28079003;-3.703333;40.419167
28079036;-3.645278;40.408056
28079020;-3.645278;40.408056
28079037;-3.712778;40.406391
23050002;-3.783611;37.781387
28079025;-3.602500;40.379444
28079039;-3.711389;40.478333
28079005;-3.711389;40.478333
28079040;-3.651389;40.388056
28079013;-3.651389;40.388056
28123001;-3.498333;40.321667
28079027;-3.575000;40.474722
28079026;-3.578889;40.459999
28123002;-3.542222;40.360000
28079044;-3.721111;40.490833
28079045;-3.636944;40.398611
28079047;-3.686667;40.398056
28079048;-3.690278;40.439722
28079049;-3.685556;40.409722
28079050;-3.688333;40.465833
28079054;-3.611944;40.372778
28079055;-3.580556;40.462500
28079056;-3.718611;40.384722
28079057;-3.660278;40.494167
28079058;-3.774444;40.518056
28079059;-3.608889;40.465000
28079060;-3.689722;40.500556
28079086;-3.689722;40.500556
28079061;-3.695000;40.402500
28079019;-3.741834;40.406567
28079021;-3.717420;40.439359
28079022;-3.715884;40.404648
